year,district,demcount,grncount,lbtcount,gopcount,othcount,totcount,delta.prod,prod,delta.pror,pror
2017.75,25,29437,237,1321,60177,44477,135649,0.024,21.701,-0.201,44.362
2017.75,26,34368,358,1349,22094,38159,96328,-0.072,35.678,-0.087,22.936
2017.75,27,45476,187,738,12755,34823,93979,0.057,48.390,0.029,13.572
2017.75,28,40037,269,1443,50858,43439,136046,-0.016,29.429,-0.139,37.383
2017.75,29,33538,110,824,14759,32502,81733,-0.070,41.034,-0.069,18.058
2017.75,30,31799,188,798,16210,31456,80451,0.028,39.526,-0.097,20.149
2017.5,1,26607,259,1214,71481,46991,146552,-0.024,18.155,0.049,48.775
2017.5,2,41725,185,639,23965,33468,99982,-0.004,41.733,-0.073,23.969
2017.5,3,46457,472,761,15564,28450,91704,-0.091,50.660,-0.002,16.972
2017.5,4,36561,152,621,20988,33473,91795,0.064,39.829,-0.026,22.864
2017.5,5,23018,173,801,56888,48643,129523,-0.116,17.771,0.148,43.921
2017.5,6,37385,421,1243,49681,43726,132456,-0.160,28.224,0.110,37.508
2017.5,7,66841,151,667,26000,35318,128977,-0.265,51.824,0.129,20.159
2017.5,8,30891,133,703,30194,35046,96967,-0.078,31.857,0.169,31.138
2017.5,9,47588,447,1062,38307,36816,124220,-0.006,38.309,0.003,30.838
2017.5,10,45674,401,1102,39389,36465,123031,-0.017,37.124,-0.015,32.016
2017.5,11,36219,232,1061,53315,45209,136036,0.050,26.625,0.059,39.192
2017.5,12,30780,178,1568,70660,49342,152528,0.037,20.180,-0.096,46.326
2017.5,13,28544,132,979,50256,43181,123092,-0.069,23.189,0.035,40.828
2017.5,14,32642,212,979,51037,39826,124696,-0.059,26.177,0.116,40.929
2017.5,15,32488,221,1405,60426,48688,143228,-0.009,22.683,-0.050,42.189
2017.5,16,27525,192,1164,53516,49269,131666,-0.039,20.905,0.078,40.645
2017.5,17,36857,185,1365,52673,48769,139849,0.090,26.355,-0.076,37.664
2017.5,18,44593,330,1515,50274,47584,144296,0.078,30.904,-0.116,34.841
2017.5,19,37906,118,763,14865,36334,89986,-0.025,42.124,0.009,16.519
2017.5,20,35220,266,1329,44337,44666,125818,0.049,27.993,-0.086,35.239
2017.5,21,34574,190,974,47468,45930,129136,-0.041,26.773,-0.122,36.758
2017.5,22,32262,159,1007,70058,50222,153708,-0.010,20.989,-0.101,45.579
2017.5,23,35112,189,1267,73248,54470,164286,0.020,21.372,-0.058,44.586
2017.5,24,44471,367,1337,23474,38400,108049,-0.019,41.158,-0.125,21.725
2017.5,25,29086,236,1302,59794,43760,134178,0.023,21.677,-0.056,44.563
2017.5,26,33821,353,1325,21781,37324,94604,-0.033,35.750,-0.100,23.023
2017.5,27,45338,186,744,12704,34832,93804,0.073,48.333,0.062,13.543
2017.5,28,40042,270,1436,51026,43214,135988,0.031,29.445,-0.155,37.522
2017.5,29,33238,117,822,14658,32028,80863,-0.065,41.104,-0.099,18.127
2017.5,30,31462,182,796,16127,31088,79655,-0.021,39.498,-0.101,20.246
2017.25,1,26574,257,1230,71227,46890,146178,-0.060,18.179,0.113,48.726
2017.25,2,41916,187,632,24145,33549,100429,-0.051,41.737,-0.002,24.042
2017.25,3,47112,488,781,15757,28692,92830,-0.047,50.751,0.025,16.974
2017.25,4,36657,152,619,21101,33654,92183,-0.101,39.765,0.081,22.890
2017.25,5,22870,172,797,55967,48052,127858,-0.170,17.887,0.154,43.773
2017.25,6,37361,427,1234,49225,43379,131626,-0.060,28.384,0.054,37.398
2017.25,7,66420,147,661,25541,34744,127513,-0.072,52.089,0.117,20.030
2017.25,8,30974,132,706,30037,35141,96990,-0.129,31.935,0.064,30.969
2017.25,9,48357,461,1090,38916,37385,126209,-0.094,38.315,0.031,30.835
2017.25,10,46417,413,1118,40030,36996,124974,-0.099,37.141,-0.044,32.031
2017.25,11,36433,235,1083,53650,45697,137098,-0.063,26.574,0.016,39.133
2017.25,12,30342,175,1551,69926,48638,150632,0.018,20.143,0.020,46.422
2017.25,13,28409,128,983,49828,42800,122148,-0.075,23.258,0.160,40.793
2017.25,14,32968,224,981,51284,40200,125657,-0.085,26.237,0.324,40.813
2017.25,15,32293,218,1396,60111,48296,142314,0.011,22.691,0.048,42.238
2017.25,16,27412,192,1159,53096,49025,130884,-0.028,20.944,0.235,40.567
2017.25,17,36334,183,1352,52210,48260,138339,0.052,26.264,0.049,37.741
2017.25,18,44170,326,1489,50089,47213,143287,0.089,30.826,0.020,34.957
2017.25,19,37466,114,768,14676,35865,88889,0.035,42.149,0.043,16.510
2017.25,20,35005,272,1332,44251,44410,125270,-0.052,27.944,0.012,35.324
2017.25,21,34406,186,970,47322,45428,128312,-0.019,26.814,0.031,36.880
2017.25,22,31913,159,1003,69420,49475,151970,-0.015,21.000,0.095,45.680
2017.25,23,34787,183,1266,72732,53948,162916,-0.004,21.353,0.073,44.644
2017.25,24,44031,368,1319,23365,37848,106931,-0.063,41.177,0.066,21.851
2017.25,25,28879,232,1290,59506,43458,133365,-0.019,21.654,0.050,44.619
2017.25,26,33424,348,1309,21599,36728,93408,0.047,35.783,0.055,23.123
2017.25,27,45125,183,733,12605,34858,93504,0.080,48.260,0.131,13.481
2017.25,28,39898,272,1426,51106,42938,135640,-0.028,29.415,0.017,37.678
2017.25,29,32970,119,808,14596,31591,80084,-0.014,41.169,-0.027,18.226
2017.25,30,31246,179,800,16088,30753,79066,-0.058,39.519,-0.039,20.348
2017,1,26712,263,1243,71196,47040,146454,-0.125,18.239,0.082,48.613
2017,2,41853,185,631,24081,33405,100155,0.099,41.788,0.186,24.044
2017,3,47326,488,786,15791,28775,93166,0.335,50.798,0.104,16.949
2017,4,36927,153,621,21128,33798,92627,0.031,39.866,-0.008,22.810
2017,5,22939,166,798,55411,47722,127036,-0.100,18.057,0.125,43.618
2017,6,37436,427,1228,49149,43372,131612,-0.140,28.444,0.272,37.344
2017,7,66158,145,670,25257,34605,126835,0.231,52.161,-0.004,19.913
2017,8,31319,131,718,30187,35320,97675,-0.355,32.064,-0.171,30.906
2017,9,48596,466,1091,38974,37397,126524,0.080,38.409,0.106,30.804
2017,10,46611,417,1121,40145,36868,125162,0.033,37.241,0.182,32.074
2017,11,36563,239,1089,53693,45680,137264,-0.011,26.637,-0.042,39.117
2017,12,30313,178,1559,69891,48682,150623,-0.072,20.125,-0.113,46.401
2017,13,28504,138,988,49638,42892,122160,-0.033,23.333,0.028,40.634
2017,14,33431,226,983,51425,40946,127011,-0.123,26.321,0.105,40.489
2017,15,32372,216,1418,60220,48508,142734,-0.061,22.680,-0.043,42.190
